,device_id,mean_battery_level,std_battery_level,median_battery_level,min_battery_level,max_battery_level,epoch,weekday,group,datetime_EST
0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,25.0,0.816497,25.0,24.0,26.0,allday,,3_hour,2021-09-10 09:00:00
1,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,12.0,6.63325,12.0,1.0,23.0,allday,,3_hour,2021-09-10 12:00:00
2,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,59.4819,23.2059,58.0,24.0,100.0,allday,,3_hour,2021-09-10 21:00:00
3,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,99.0,0.0,99.0,99.0,99.0,allday,,3_hour,2021-09-11 00:00:00
4,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,94.0,2.58199,94.0,90.0,98.0,allday,,3_hour,2021-09-11 03:00:00
5,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,85.5,2.29129,85.5,82.0,89.0,allday,,3_hour,2021-09-11 06:00:00
6,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,74.0,4.32049,74.0,67.0,81.0,allday,,3_hour,2021-09-11 09:00:00
7,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,60.4167,3.49901,60.5,55.0,66.0,allday,,3_hour,2021-09-11 12:00:00
8,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,48.9091,3.05866,49.0,44.0,54.0,allday,,3_hour,2021-09-11 15:00:00
9,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,35.5,4.60977,35.5,28.0,43.0,allday,,3_hour,2021-09-11 18:00:00
10,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,41.1,19.7931,38.5,13.0,78.0,allday,,3_hour,2021-09-11 21:00:00
11,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,89.5,6.34429,89.5,79.0,100.0,allday,,3_hour,2021-09-12 00:00:00
12,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,97.5,1.11803,97.5,96.0,99.0,allday,,3_hour,2021-09-12 06:00:00
13,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,89.5,3.45205,89.5,84.0,95.0,allday,,3_hour,2021-09-12 09:00:00
14,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,79.0,2.58199,79.0,75.0,83.0,allday,,3_hour,2021-09-12 12:00:00
15,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,68.0,3.74166,68.0,62.0,74.0,allday,,3_hour,2021-09-12 15:00:00
16,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,51.4,5.69561,51.5,42.0,61.0,allday,,3_hour,2021-09-12 18:00:00
17,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,55.875,16.6137,54.5,32.0,86.0,allday,,3_hour,2021-09-12 21:00:00
18,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,93.3333,4.00925,93.0,87.0,100.0,allday,,3_hour,2021-09-13 00:00:00
19,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,92.5,4.03113,92.5,86.0,99.0,allday,,3_hour,2021-09-13 09:00:00
20,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,75.0,6.0553,75.0,65.0,85.0,allday,,3_hour,2021-09-13 12:00:00
21,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,59.8889,2.64342,60.0,56.0,64.0,allday,,3_hour,2021-09-13 15:00:00
22,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,44.4545,6.28655,44.5,34.0,55.0,allday,,3_hour,2021-09-13 18:00:00
23,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,25.0,4.89898,25.0,17.0,33.0,allday,,3_hour,2021-09-13 21:00:00
24,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,52.1386,26.5058,50.0,12.0,100.0,allday,,3_hour,2021-09-14 00:00:00
25,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,98.5,0.5,98.5,98.0,99.0,allday,,3_hour,2021-09-14 06:00:00
26,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,91.5,3.45205,91.5,86.0,97.0,allday,,3_hour,2021-09-14 09:00:00
27,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,80.5,2.87228,80.5,76.0,85.0,allday,,3_hour,2021-09-14 12:00:00
28,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,68.5,4.03113,68.5,62.0,75.0,allday,,3_hour,2021-09-14 15:00:00
29,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,52.3889,5.12227,52.0,44.0,61.0,allday,,3_hour,2021-09-14 18:00:00
30,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,39.5,2.29129,39.5,36.0,43.0,allday,,3_hour,2021-09-14 21:00:00
31,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,26.5,5.18813,26.5,18.0,35.0,allday,,3_hour,2021-09-15 00:00:00
32,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,55.3409,24.2412,54.5,16.0,98.0,allday,,3_hour,2021-09-15 03:00:00
