,device_id,number_samples_screen,unlocks_per_minute,number_of_minutes_interaction,max_len_minute_interaction_bout,min_len_minute_interaction_bout,std_len_minute_interaction_bout,mean_len_minute_interaction_bout,number_of_minutes_unlock,max_len_minute_unlock_bout,min_len_minute_unlock_bout,std_len_minute_unlock_bout,mean_len_minute_unlock_bout,first_unlock_for_grpbyday,first_on_for_grpbyday,last_unlock_for_grpbyday,last_lock_for_grpbyday,last_on_for_grpbyday,epoch,weekday,group,datetime_EST
0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,5,0.00138889,1.00782,0.535583,0.472233,0.031675,0.503908,1.00782,0.535583,0.472233,0.031675,0.503908,2021-09-09 22:50:19,,2021-09-09 22:55:02,2021-09-10 23:59:59,,allday,,3_hour,2021-09-10 09:00:00
1,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,15,0.00555556,1479.01,1426.37,0.0196,469.303,184.876,1479.01,1426.37,0.0196,469.303,184.876,2021-09-09 23:09:26,,2021-09-10 23:59:59,2021-09-10 00:13:32,,allday,,3_hour,2021-09-10 12:00:00
2,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1,0.0,552.749,552.749,552.749,0.0,552.749,552.749,552.749,552.749,0.0,552.749,2021-09-10 00:00:00,,,2021-09-10 23:59:59,,allday,,3_hour,2021-09-10 21:00:00
3,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,3,0.00138889,627.64,627.6,0.03925,313.781,313.82,627.64,627.6,0.03925,313.781,313.82,2021-09-10 13:31:23,,2021-09-11 23:59:59,2021-09-10 13:31:26,,allday,,3_hour,2021-09-11 00:00:00
4,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,3,0.000694444,901.386,863.256,38.1299,412.563,450.693,901.386,863.256,38.1299,412.563,450.693,2021-09-11 00:00:00,,2021-09-10 14:23:18,2021-09-11 23:59:59,,allday,,3_hour,2021-09-11 03:00:00
5,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,2,0.000694444,32.7409,32.7409,32.7409,0.0,32.7409,32.7409,32.7409,32.7409,0.0,32.7409,2021-09-10 19:06:19,,2021-09-10 19:06:19,2021-09-11 23:59:59,,allday,,3_hour,2021-09-11 06:00:00
6,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,24,0.00833333,48.916,20.5648,0.0214667,6.24322,4.07633,48.916,20.5648,0.0214667,6.24322,4.07633,2021-09-10 20:14:00,,2021-09-10 22:31:12,2021-09-11 23:59:59,,allday,,3_hour,2021-09-11 09:00:00
7,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,22,0.00763889,45.4621,24.9838,0.0281833,6.89439,4.13291,45.4621,24.9838,0.0281833,6.89439,4.13291,2021-09-10 23:10:20,,2021-09-11 01:48:50,2021-09-11 23:59:59,,allday,,3_hour,2021-09-11 12:00:00
8,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,35,0.0125,1174.71,1152.89,0.000866667,263.796,65.2619,1174.71,1152.89,0.000866667,263.796,65.2619,2021-09-11 02:05:33,,2021-09-11 23:59:59,2021-09-11 04:44:41,,allday,,3_hour,2021-09-11 15:00:00
9,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,29,0.00972222,339.973,303.806,0.06315,75.2207,22.6649,339.973,303.806,0.06315,75.2207,22.6649,2021-09-11 00:00:00,,2021-09-11 07:42:27,2021-09-11 23:59:59,,allday,,3_hour,2021-09-11 18:00:00
10,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,26,0.00902778,91.0512,25.9638,0.0059,8.86391,7.00394,91.0512,25.9638,0.0059,8.86391,7.00394,2021-09-11 08:00:30,,2021-09-11 10:30:19,2021-09-11 23:59:59,,allday,,3_hour,2021-09-11 21:00:00
11,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,5,0.00208333,305.163,240.751,18.0135,98.9898,101.721,305.163,240.751,18.0135,98.9898,101.721,2021-09-11 18:35:01,,2021-09-12 23:59:59,2021-09-11 19:42:29,,allday,,3_hour,2021-09-12 06:00:00
12,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,30,0.0104167,1323.74,1227.8,0.0404333,296.055,82.7336,1323.74,1227.8,0.0404333,296.055,82.7336,2021-09-12 00:00:00,,2021-09-12 23:59:59,2021-09-11 22:57:41,,allday,,3_hour,2021-09-12 09:00:00
13,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,11,0.00347222,1413.75,1380.26,2.53998,511.916,235.625,1413.75,1380.26,2.53998,511.916,235.625,2021-09-12 00:00:00,,2021-09-11 23:53:42,2021-09-12 23:59:59,,allday,,3_hour,2021-09-12 12:00:00
14,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,8,0.00277778,73.2229,59.4383,1.74113,23.8322,18.3057,73.2229,59.4383,1.74113,23.8322,18.3057,2021-09-12 03:24:22,,2021-09-12 04:36:14,2021-09-12 23:59:59,,allday,,3_hour,2021-09-12 15:00:00
15,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,32,0.0111111,76.6622,23.7711,0.06955,6.54103,4.79139,76.6622,23.7711,0.06955,6.54103,4.79139,2021-09-12 05:17:57,,2021-09-12 07:56:00,2021-09-12 23:59:59,,allday,,3_hour,2021-09-12 18:00:00
16,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,14,0.00486111,37.2369,14.8777,0.0337667,5.74487,5.31955,37.2369,14.8777,0.0337667,5.74487,5.31955,2021-09-12 08:31:48,,2021-09-12 10:05:38,2021-09-12 23:59:59,,allday,,3_hour,2021-09-12 21:00:00
17,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,9,0.00347222,262.228,241.391,0.0588,94.6372,52.4457,262.228,241.391,0.0588,94.6372,52.4457,2021-09-12 19:26:52,,2021-09-13 23:59:59,2021-09-12 19:58:08,,allday,,3_hour,2021-09-13 06:00:00
18,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,17,0.00555556,1272.87,1217.68,2.37817,380.533,141.43,1272.87,1217.68,2.37817,380.533,141.43,2021-09-13 00:00:00,,2021-09-12 22:55:40,2021-09-13 23:59:59,,allday,,3_hour,2021-09-13 09:00:00
19,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,24,0.00833333,56.8947,25.4482,0.0527833,7.21391,4.74123,56.8947,25.4482,0.0527833,7.21391,4.74123,2021-09-12 23:02:20,,2021-09-13 01:49:19,2021-09-13 23:59:59,,allday,,3_hour,2021-09-13 12:00:00
20,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,26,0.00902778,41.1041,15.7788,0.112633,4.43328,3.16186,41.1041,15.7788,0.112633,4.43328,3.16186,2021-09-13 02:07:35,,2021-09-13 04:44:33,2021-09-13 23:59:59,,allday,,3_hour,2021-09-13 15:00:00
21,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,25,0.00902778,1066.03,967.724,0.23585,256.014,82.0021,1066.03,967.724,0.23585,256.014,82.0021,2021-09-13 05:02:11,,2021-09-13 23:59:59,2021-09-13 07:49:18,,allday,,3_hour,2021-09-13 18:00:00
22,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,33,0.0111111,541.796,484.282,0.0212167,113.397,31.8703,541.796,484.282,0.0212167,113.397,31.8703,2021-09-13 00:00:00,,2021-09-13 10:45:19,2021-09-13 23:59:59,,allday,,3_hour,2021-09-13 21:00:00
23,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,10,0.00347222,63.2962,46.5995,1.5225,17.027,12.6592,63.2962,46.5995,1.5225,17.027,12.6592,2021-09-13 11:00:35,,2021-09-13 12:12:37,2021-09-14 23:59:59,,allday,,3_hour,2021-09-14 00:00:00
24,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,14,0.00486111,43.2479,29.9066,0.0206333,10.1873,6.17827,43.2479,29.9066,0.0206333,10.1873,6.17827,2021-09-13 18:42:42,,2021-09-13 19:42:17,2021-09-14 23:59:59,,allday,,3_hour,2021-09-14 06:00:00
25,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,44,0.0152778,32.3231,15.189,0.0072,3.06047,1.46923,32.3231,15.189,0.0072,3.06047,1.46923,2021-09-13 20:07:25,,2021-09-13 22:47:46,2021-09-14 23:59:59,,allday,,3_hour,2021-09-14 09:00:00
26,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,26,0.00902778,31.1238,12.7825,0.00481667,3.33285,2.39414,31.1238,12.7825,0.00481667,3.33285,2.39414,2021-09-13 23:02:02,,2021-09-14 01:14:04,2021-09-14 23:59:59,,allday,,3_hour,2021-09-14 12:00:00
27,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,24,0.00833333,65.9814,20.6914,0.00773333,6.85307,5.49845,65.9814,20.6914,0.00773333,6.85307,5.49845,2021-09-14 02:03:01,,2021-09-14 04:54:47,2021-09-14 23:59:59,,allday,,3_hour,2021-09-14 15:00:00
28,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,38,0.0131944,59.9686,22.6477,0.01255,5.26263,3.15624,59.9686,22.6477,0.01255,5.26263,3.15624,2021-09-14 05:08:28,,2021-09-14 07:53:21,2021-09-14 23:59:59,,allday,,3_hour,2021-09-14 18:00:00
29,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,21,0.00763889,794.399,784.007,0.129,225.089,72.2181,794.399,784.007,0.129,225.089,72.2181,2021-09-14 08:20:33,,2021-09-14 23:59:59,2021-09-14 10:53:06,,allday,,3_hour,2021-09-14 21:00:00
30,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,20,0.00694444,1356.31,661.292,0.0298667,248.164,123.301,1356.31,661.292,0.0298667,248.164,123.301,2021-09-15 00:00:00,,2021-09-15 23:59:59,2021-09-14 13:19:53,,allday,,3_hour,2021-09-15 00:00:00
31,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,9,0.00277778,889.378,856.949,0.0983167,339.742,177.876,889.378,856.949,0.0983167,339.742,177.876,2021-09-15 00:00:00,,2021-09-14 15:50:11,2021-09-15 23:59:59,,allday,,3_hour,2021-09-15 03:00:00
